StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q5,Q5_DO,Q8,Q8_DO,Q60_1,Q60_2,Q61_1,Q61_2,Q14_1,Q14_2,Q58_1,Q58_2,Q16,Q62_1,Q62_2,Q69_1,Q69_2,Q65_1,Q65_2,Q63_1,Q63_2,Q27,Q70_1,Q70_2,Q68_1,Q68_2,Q67_1,Q67_2,Q71_1,Q71_2,Q43,Q72_1,Q72_2,Q73_1,Q73_2,Q88_1,Q88_2,Q81_1,Q81_2,Q49,Q80_1,Q80_2,Q75_1,Q75_2,Q78_1,Q78_2,Q83_1,Q83_2,Q57,Q82_1,Q82_2,Q85_1,Q85_2,Q84_1,Q84_2,Q77_1,Q77_2,Q63,Q19,Q19_6_TEXT,Q13,Q15,Q14,FL_3_DO,FL_22_DO,FL_26_DO,FL_27_DO,FL_28_DO,PetitionPair1-AB_DO,PetitionPair1-CD_DO,PetitionPair2-AC_DO,PetitionPair2-BD_DO,PetitionPair3-A/D_DO,PetitionPair3-B/C_DO
2025-04-15 14:03:30,2025-04-15 14:06:16,0,*******,100,166,1,2025-04-15 14:06:17,R_6dKeVYgYFNVpttL,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",5|3|1|2|4,,,4,4,4,4,4,5,4,5,1,5,5,5,5,4,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,4,AI-Primed,FL_26,PetitionPair1-AB|PetitionPair1-CD,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
2025-04-15 13:56:52,2025-04-15 14:07:11,0,*******,100,618,1,2025-04-15 14:07:11,R_1CNM7ziSCIqaN3j,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",5|3|4|2|1,4,5,3,4,3,3,4,4,1,5,5,4,5,5,5,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,4,5",,4,,3,Control,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,Q12|Q60|Q61|Q15|Q14|Q58|Q16,Q25|Q62|Q69|Q24|Q65|Q63|Q27,,,,
2025-04-15 14:05:50,2025-04-15 14:09:49,0,*******,100,238,1,2025-04-15 14:09:49,R_39uoztIskZKqVK6,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",3|1|4|5|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,1,,1,,3,Control,FL_28,,,PetitionPair3-A/D|PetitionPair3-B/C,,,,,Q61|Q80|Q75|Q53|Q78|Q83|Q57,Q55|Q82|Q85|Q59|Q84|Q77|Q63
2025-04-15 13:50:10,2025-04-15 13:50:31,0,*******,9,20,0,2025-04-22 13:50:36,R_1DtPQEIRRriatx5,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,,,,,,,,,,
2025-04-15 13:50:35,2025-04-15 13:55:34,0,*******,67,298,0,2025-04-22 13:55:38,R_1O6dxnh9gNYTntM,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",5|4|3|1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,FL_27,,PetitionPair2-BD|PetitionPair2-AC,,,,,Q41|Q72|Q73|Q47|Q81|Q88|Q49,,
2025-04-15 13:55:40,2025-04-15 13:55:57,0,*******,9,16,0,2025-04-22 13:55:58,R_7bdDOLuPVDj7tCh,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,
2025-04-15 13:49:44,2025-04-15 13:59:08,0,*******,93,564,0,2025-04-22 13:59:18,R_3ne3vnJY06nq6DD,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",4|5|3|2|1,,,,,,,,,,,,,,,,,,,5,5,4,4,4,4,4,4,2,5,5,4,5,5,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,Control,FL_27,,PetitionPair2-BD|PetitionPair2-AC,,,,Q39|Q70|Q68|Q45|Q67|Q71|Q43,Q41|Q72|Q73|Q47|Q81|Q88|Q49,,
2025-04-15 14:02:12,2025-04-15 14:02:19,0,*******,9,6,0,2025-04-22 14:02:21,R_7kY9rptw23Wo2Iw,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,,,,,,,,,,
2025-04-15 13:53:03,2025-04-15 14:03:08,0,*******,93,605,0,2025-04-22 14:03:10,R_5gO6zwpkMtMKKgv,*******,*******,*******,*******,*******,*******,anonymous,EN,1,5,5|4|3|2|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,2,2,3,3,1,3,3,1,4,5,5,3,3,2,,,,,,AI-Primed,FL_28,,,PetitionPair3-B/C|PetitionPair3-A/D,,,,,Q53|Q80|Q75|Q61|Q78|Q83|Q57,Q55|Q82|Q85|Q59|Q84|Q77|Q63
2025-04-15 14:03:24,2025-04-15 14:03:43,0,*******,9,18,0,2025-04-22 14:03:43,R_30H7xW4D5C3S3QM,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,
2025-04-15 13:56:46,2025-04-15 14:03:47,0,*******,67,420,0,2025-04-22 14:03:49,R_7oKJ0rZQvjlPSEo,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",1|5|3|4|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,FL_27,,PetitionPair2-AC|PetitionPair2-BD,,,,Q39|Q70|Q68|Q45|Q67|Q71|Q43,,,
2025-04-15 14:04:56,2025-04-15 14:05:08,0,*******,67,11,0,2025-04-22 14:05:11,R_5Dvvnq44zUsA1KD,*******,*******,*******,*******,*******,*******,anonymous,EN,1,3,5|2|3|1|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
2025-04-15 14:06:06,2025-04-15 14:06:12,0,*******,9,4,0,2025-04-22 14:06:19,R_5PqhfoqVniYbtCY,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,,,,,,,,,,
2025-04-15 13:51:12,2025-04-15 14:08:26,0,*******,67,1034,0,2025-04-22 14:08:29,R_7OW9JmOEethcOC2,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",5|1|3|2|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,FL_26,PetitionPair1-AB|PetitionPair1-CD,,,Q12|Q60|Q61|Q15|Q14|Q58|Q16,,,,,
2025-04-15 14:14:22,2025-04-15 14:14:40,0,*******,9,18,0,2025-04-22 14:14:41,R_31NEaQe4RD7TD3z,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,
2025-04-15 14:02:04,2025-04-15 14:27:06,0,*******,67,1501,0,2025-04-22 14:27:06,R_3c1kncYy8QpQjKO,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",2|5|3|4|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,FL_27,,PetitionPair2-BD|PetitionPair2-AC,,,,,Q41|Q72|Q73|Q47|Q81|Q88|Q49,,
2025-04-15 14:02:05,2025-04-15 15:42:19,0,*******,9,6014,0,2025-04-22 15:42:24,R_740gZAE0kbERPlT,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,
2025-04-15 14:00:28,2025-04-16 06:36:46,0,*******,67,59778,0,2025-04-23 06:36:48,R_6MXolrSkXWTLjEy,*******,*******,*******,*******,*******,*******,anonymous,EN,1,4,5|2|1|3|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,FL_27,,PetitionPair2-AC|PetitionPair2-BD,,,,Q45|Q70|Q68|Q39|Q67|Q71|Q43,,,
2025-04-15 14:03:14,2025-04-16 08:05:09,0,*******,67,64914,0,2025-04-23 08:05:11,R_3VmayL4Gs8Y41o1,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,2,5|1|3|2|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,FL_27,,PetitionPair2-AC|PetitionPair2-BD,,,,Q45|Q70|Q68|Q39|Q67|Q71|Q43,,,
2025-04-15 13:49:45,2025-04-16 08:05:13,0,*******,93,65728,0,2025-04-23 08:05:21,R_3mDf9AzeV151MlT,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"1,2,3,4",3|1|2|4|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,2,1,2,4,5,3,4,4,3,1,,,,,,AI-Primed,FL_28,,,PetitionPair3-A/D|PetitionPair3-B/C,,,,,Q61|Q80|Q75|Q53|Q78|Q83|Q57,Q59|Q82|Q85|Q55|Q84|Q77|Q63
2025-04-23 09:38:48,2025-04-23 09:47:56,0,*******,100,548,1,2025-04-23 09:47:57,R_5Jz3fReZyhtNgdx,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",1|4|5|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,4,4,4,5,1,3,4,4,4,5,5,4,5,2,"1,3,4",,3,no,4,AI-Primed,FL_28,,,PetitionPair3-B/C|PetitionPair3-A/D,,,,,Q53|Q80|Q75|Q61|Q78|Q83|Q57,Q59|Q82|Q85|Q55|Q84|Q77|Q63
2025-04-23 09:48:34,2025-04-23 09:56:04,0,*******,100,449,1,2025-04-23 09:56:04,R_3xKryQKdEP5snaV,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",1|3|4|2|5,,,,,,,,,,,,,,,,,,,4,4,4,4,5,5,5,5,2,4,4,4,4,5,5,5,5,2,,,,,,,,,,,,,,,,,,,6,"having steps to take action, the wrasse one's just stated facts whereas the parrot fish ones actually told the reader what they can do to help (ie: sign this petition)",3,"I didn't think these petitions were very influential. Since AI was used it felt like I was just reading a wiki page on what is endangered and at risk. ",4,Control,FL_27,,PetitionPair2-AC|PetitionPair2-BD,,,,Q39|Q70|Q68|Q45|Q67|Q71|Q43,Q41|Q72|Q73|Q47|Q81|Q88|Q49,,
2025-04-23 10:06:42,2025-04-23 10:19:20,0,*******,100,757,1,2025-04-23 10:19:20,R_7M6Afe4bqyVlytD,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",5|2|3|4|1,,,4,4,4,4,4,5,5,4,1,4,5,5,4,2,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3,4,5",,2,,4,AI-Primed,FL_26,PetitionPair1-AB|PetitionPair1-CD,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
2025-04-24 11:26:05,2025-04-24 11:31:05,0,*******,100,299,1,2025-04-24 11:31:05,R_17vwkTmurg6fLJa,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",4|1|3|5|2,4,2,2,4,4,5,5,4,1,5,5,5,5,4,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3,5",,4,No,2,Control,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
2025-04-24 16:26:47,2025-04-24 16:30:45,0,*******,100,237,1,2025-04-24 16:30:45,R_3EzKTW0QHtvtgpw,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",5|4|1|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,5,4,4,2,4,2,2,3,5,5,4,5,2,"3,4,5",,4,"If it enhances persuasive language, it is a good tool, but AI can also produce misinformation and make things sound robotic.",3,Control,FL_28,,,PetitionPair3-A/D|PetitionPair3-B/C,,,,,Q53|Q80|Q75|Q61|Q78|Q83|Q57,Q59|Q82|Q85|Q55|Q84|Q77|Q63
2025-04-24 21:46:31,2025-04-24 21:51:07,0,*******,100,276,1,2025-04-24 21:51:08,R_7hwelvx9OeYA0b7,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",5|2|3|4|1,4,4,4,5,5,5,4,5,1,4,4,4,5,4,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3,5",,4,,2,Control,FL_26,PetitionPair1-AB|PetitionPair1-CD,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
2025-04-27 17:18:55,2025-04-27 17:23:06,0,*******,100,251,1,2025-04-27 17:23:07,R_3PpjzbTnsGhWRyM,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",5|3|2|1|4,,,4,4,4,4,4,4,4,4,1,2,4,4,4,2,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2,3,4,5",,4,,4,AI-Primed,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
